city,state,city_geoid,LAT,LON,nearest_bg_geoid,walkability_index
Baltimore Highlands CDP,MD,240054301041,4755523.37413368,-8531236.566359404,240054301041,12.66666667
Barclay town,MD,240358102002,4742671.615755795,-8445190.050880421,240358102002,3.666666667
Barnesville town,MD,240317004002,4753797.134659784,-8613468.71948636,240317004002,5.833333333
Barrelville CDP,MD,240010015031,4822826.240388796,-8776701.832172096,240010015031,2.833333333
Barton town,MD,240010021001,4798205.893054327,-8796108.270321578,240010021001,10.5
Bartonsville CDP,MD,240217519043,4777517.125915259,-8610892.22987195,,
Beaver Creek CDP,MD,240430113023,4805318.57200971,-8644107.405576374,240430113023,6.666666667
Bel Air CDP,MD,240010020005,4805277.696708465,-8778150.87798375,,
Bel Air town,MD,240253039001,4798589.683042851,-8498833.80029879,240253039001,15.16666667
Bel Air North CDP,MD,240253032061,4801254.823686701,-8501797.013824217,240253032061,7.666666667
Bel Air South CDP,MD,240253011062,4794710.457896227,-8494719.654558053,240253011062,11.83333333
Beltsville CDP,MD,240338074052,4727388.94776182,-8562744.546353025,240338074052,11.33333333
Benedict CDP,MD,240178514022,4651941.872210606,-8535941.818596257,,
Bensville CDP,MD,240178507132,4666383.645249453,-8572127.888870971,240178507132,4.166666667
Berlin town,MD,240479510001,4626366.754002182,-8372943.812675076,240479510001,9.5
Berwyn Heights town,MD,240338068001,4720648.021079725,-8561966.200473398,240338068001,14.83333333
Bethesda CDP,MD,240317059031,4719851.424055304,-8584804.618524035,240317059031,11.0
Betterton town,MD,240299502002,4774388.714213491,-8468351.40677385,240299502002,6.166666667
Bier CDP,MD,240010020002,4801504.022146724,-8779893.139334157,240010020002,6.5
Big Pool CDP,MD,240430106003,4811610.592553759,-8684720.095402483,240430106003,2.666666667
Big Spring CDP,MD,240430106004,4811727.370928071,-8676200.14685513,240430106004,4.833333333
Bishopville CDP,MD,240479508001,4641577.885856126,-8372284.022053144,240479508001,4.5
Bivalve CDP,MD,240450108004,4622773.075755761,-8446992.870033817,240450108004,4.666666667
Bladensburg town,MD,240338040021,4713419.641982788,-8563353.130009193,240338040021,15.0
Bloomington CDP,MD,240230004001,4790854.511521669,-8802979.465890791,240230004001,2.666666667
Boonsboro town,MD,240430114002,4795083.725281396,-8645599.86598944,240430114002,8.333333333
Bowie city,MD,240338005052,4715185.241373524,-8542527.924949547,240338005052,11.33333333
Bowleys Quarters CDP,MD,240054518022,4766578.4859661255,-8502835.402034337,240054518022,4.833333333
Bowling Green CDP,MD,240010013002,4811904.853543724,-8772537.5926605,240010013002,11.5
Bowmans Addition CDP,MD,240010023004,4820466.783756159,-8766969.614370001,,
Braddock Heights CDP,MD,240217526022,4780503.007931346,-8626544.084235957,240217526022,5.666666667
Brandywine CDP,MD,240338010031,4676233.60547622,-8558834.003960947,240338010031,6.666666667
Breathedsville CDP,MD,240430109021,4800187.354212849,-8652257.105497349,,
Brentwood town,MD,240338046001,4713636.478540715,-8566819.173674531,240338046001,17.0
